ID, Name, First Name, Date of Birth, City, Country, Date of Exam, Date of Issue, Reading 1, Reading 2, Grammar 1, Grammar 2, Verification Code
1, Everleigh, Henry, 19.07.1978, London, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, VZfpfQZ8
2, Everleigh, William, 12.01.1971, Bristol, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, aLD3lwVM
3, Nye, Edwin, 01.02.1978, Galway, Ireland, 02.02.2022, 09.02.2022, 4, 4, 4, 5, DHtk00tL
4, Jones, Tabitha, 11.10.1979, Dublin, Ireland, 02.02.2022, 09.02.2022, 4, 4, 3, 2, zNT1jxce
5, Jones, Albert, 11.10.1979, Dublin, Ireland, 02.02.2022, 09.02.2022, 2, 4, 3, 2, mPMkXcoM
6, Dryden, Fanny, 20.09.1967, Bedford, United Kingdom, 02.02.2022, 09.02.2022, 2, 3, 3, 1, NQKRQBmf
7, Tindull, Charlotte, 05.05.1980, Edinburgh, United Kingdom, 02.02.2022, 09.02.2022, 2, 3, 2, 1, yQaARehq
8, Langley, Esther, 09.02.1990, Leicester, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, av5NQUZH
9, Langley, Agnes, 21.07.1987, Oxford, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, pFAd8vhK
10, Langley, Andrew, 30.05.1985, Swansea, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, jDgqf8sV
11, Adley, Selina, 20.11.1998, Cardiff, United Kingdom, 02.02.2022, 09.02.2022, 4, 4, 3, 2, ZM2OfpfD
12, Hastings, Dorothy, 02.12.1988, Newport, United Kingdom, 02.02.2022, 09.02.2022, 5, 5, 5, 5, 6AvQwCsJ
